Title,Link,SQL,Python,Power BI,Excel,Tableau,Angielski,Cloud,R
Analityczka / Analityk CRM,"https://www.pracuj.pl/praca/analityczka-analityk-crm-warszawa,oferta,1004541798?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,0,0,0
Doradca_czyni Analityk_czka Klienta Korporacyjnego,"https://www.pracuj.pl/praca/doradca-czyni-analityk-czka-klienta-korporacyjnego-poznan-boleslawa-krysiewicza-2,oferta,1004539557?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,1,0
Analityczka / Analityk FinOps,"https://www.pracuj.pl/praca/analityczka-analityk-finops-warszawa,oferta,1004541477?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,1,1,1,0,0,1,0
Analityk kredytowy,"https://www.pracuj.pl/praca/analityk-kredytowy-warszawa-poloneza-93,oferta,1004532636?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Specjalista ds. analityki IT,"https://www.pracuj.pl/praca/specjalista-ds-analityki-it-torun-joachima-lelewela-33,oferta,1004539083?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,0
Analityk Biznesowy,"https://www.pracuj.pl/praca/analityk-biznesowy-krakow-profesora-michala-zyczkowskiego-20,oferta,1004537947?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,1,0,1,0,0
Analityk/czka finansowy/a,"https://www.pracuj.pl/praca/analityk-czka-finansowy-a-warszawa-kolska-12,oferta,1004537685?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
System Analyst,"https://www.pracuj.pl/praca/system-analyst-warszawa-czerniakowska-87a,oferta,1004539631?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
Procurement Analyst,"https://www.pracuj.pl/praca/procurement-analyst-wedkowy-pow-tczewski,oferta,1004537467?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,0,0
Naczelnik wydziału do spraw analiz i prognoz makroekonomicznych w Biurze Rady Fiskalnej,"https://www.pracuj.pl/praca/naczelnik-wydzialu-do-spraw-analiz-i-prognoz-makroekonomicznych-w-biurze-rady-fi-warszawa-marszalkowska-142,oferta,1004537397?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Senior Data Engineer,"https://www.pracuj.pl/praca/senior-data-engineer-warszawa-pulawska-180,oferta,1004565569?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,1,0,1,1,0
Ekspert ds. Sprzedaży Rozwiązań Danych (K/M/X),"https://www.pracuj.pl/praca/ekspert-ds-sprzedazy-rozwiazan-danych-k-m-x-warszawa-tasmowa-7,oferta,1004537461?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,1,1,0,0
Senior Data Engineer,"https://www.pracuj.pl/praca/senior-data-engineer-krakow,oferta,1004524104?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,1,0,1,1,0
Senior Data Engineer,"https://www.pracuj.pl/praca/senior-data-engineer-krakow,oferta,1004549063?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,0
Starszy Analityk Ryzyka Kredytowego,"https://www.pracuj.pl/praca/starszy-analityk-ryzyka-kredytowego-gdansk-aleja-grunwaldzka-103a,oferta,1004555611?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,0,1
Specjalista Analityk Biznesowy (k/m),"https://www.pracuj.pl/praca/specjalista-analityk-biznesowy-k-m-warszawa,oferta,1004539126?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,0,0
